RI,Na,Mg,AI,Si,K,Ca,Ba,Fe,Type,Type Name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
